Year;Net revenues;Net profit;Total Assets;Total Equity;Current Assets;Current Liabilities;Inventory;Accruals;Total Liabilities;Total Debt
2017;205 808 576;76 995 563;904 791 421;754 440 984;353 754 666;26 266 837;237 999;3 239 078;904 791 421;150 350 437
2018;219 411 389;75 078 146;1 090 004 026;829 468 675;456 108 707;129 963 837;316 634;3 276 943;1 090 004 026;260 535 352
2019;240 244 048;60 665 456;1 240 894 687;890 092 306;254 021 571;227 478 371;241 327;4 875 903;1 240 894 687;350 802 381
2020;242 555 515;65 102 039;1 558 603 889;955 987 035;338 334 023;320 650 330;517 372;3 740 714;1 558 603 889;602 616 854
2021;247 406 625;67 706 121;1 574 189 928;984 666 646;341 717 363;333 476 343;548 414;3 927 750;1 574 189 928;608 643 023
