Wegiel i koks;6770;2876;3129
Rudy;14;0;2272
Inne masowe;4112;1492;3351
Zboze;611;3220;1303
Drewno;255;365;200
Drobnica;22891;14148;17511
Ropa i przetw. Naftowe;17498;1862;4406
