Year;Net revenues;Net profit;Total Assets;Total Equity;Current Assets;Current Liabilities;Inventory;Accruals;Total Liabilities;Total Debt
2017;205808576;76995563;904791421;754440984;353754666;26266837;237999;3239078;904791421;150350437
2018;219411389;75078146;1090004026;829468675;456108707;129963837;316634;3276943;1090004026;260535352
2019;240244048;60665456;1240894687;890092306;254021571;227478371;241327;4875903;1240894687;350802381
2020;242555515;65102039;1558603889;955987035;338334023;320650330;517372;3740714;1558603889;602616854
