Year;Net revenues;Net profit;Total Assets;Total Equity;Current Assets;Current Liabilities;Inventory;Accruals;Total Liabilities;Total Debt
2017;167336249;61567144;1367005791;918242454;180946132;32324124;188765;47461;1367005791;150350437
2018;183863228;39529712;1389018623;957772166;174620127;33390280;208686;87830;1389018623;260535352
2019;188260017;32756380;1407784727;987999790;299279019;18403006;181475;119858;1407784727;350802381
2020;189457025;57008108;1886616037;1037116319;363486322;375228511;77689;142610;1886616037;602616854
2021;193473514;58216680;1926612297;1059103185;371192232;383183355;79336;145633;1926612297;615392331
