Year;Net revenues;Net profit;Total Assets;Total Equity;Current Assets;Current Liabilities;Inventory;Accruals;Total Liabilities;Total Debt
2017;180365664;75727053;1706043227;1387229442;732878265;18849660;426680;566864;1706043227;318813785
2018;190524725;67524246;1771996445;1454753688;673502188;28462244;398034;851127;1771996445;317242757
2019;194218627;52510258;1879669803;1507263946;669488276;42590442;1069848;955152;1879669803;372405857
2020;194676878;59246680;2713791306;1566510626;668312959;727438284;1224431;829527;2713791306;1147280680
2021;203086919;61806137;2831027090;1634183885;697184079;758863618;1277326;865363;2831027090;1196843205
