Wegiel i koks;7185;2629;3440
Rudy;10;0;3226
Inne masowe;3913;1311;3373
Zboze;559;2994;1095
Drewno;428;979;75
Drobnica;21422;13817;13431
Ropa i przetw. Naftowe;15512;1759;3972
